session_id,product_id,position,clicked,price_pln,category,quality_score,user_preferred_category
3,prod_3_9,9,0,147.8,Elektronika,0.666,Odziez
3,prod_3_10,10,0,657.8,Odziez,0.276,Odziez
4,prod_4_1,1,0,217.65,Elektronika,0.489,Elektronika
4,prod_4_2,2,0,498.95,Elektronika,0.486,Elektronika
4,prod_4_3,3,1,183.23,Elektronika,0.671,Elektronika
4,prod_4_4,4,0,301.52,Elektronika,0.784,Elektronika
4,prod_4_5,5,0,178.33,Ksiazki,0.916,Elektronika
4,prod_4_6,6,0,374.08,Elektronika,0.108,Elektronika
4,prod_4_7,7,0,234.93,Elektronika,0.779,Elektronika
4,prod_4_8,8,0,316.29,Elektronika,0.476,Elektronika
4,prod_4_9,9,0,295.46,Elektronika,0.244,Elektronika
4,prod_4_10,10,0,1022.73,Elektronika,0.65,Elektronika
5,prod_5_1,1,0,63.86,Ksiazki,0.1,Ksiazki
5,prod_5_2,2,0,189.81,Ksiazki,0.628,Ksiazki
5,prod_5_3,3,0,1367.0,Elektronika,0.656,Ksiazki
5,prod_5_4,4,0,215.26,Odziez,0.823,Ksiazki
5,prod_5_5,5,0,124.76,Ksiazki,0.535,Ksiazki
5,prod_5_6,6,0,586.64,Ksiazki,0.77,Ksiazki
5,prod_5_7,7,0,50.26,Ksiazki,0.472,Ksiazki
6,prod_6_1,1,0,232.76,Ksiazki,0.836,Elektronika
6,prod_6_2,2,0,105.02,Elektronika,0.506,Elektronika
6,prod_6_3,3,0,119.87,Elektronika,0.552,Elektronika
6,prod_6_4,4,0,296.66,Elektronika,0.61,Elektronika
6,prod_6_5,5,0,30.82,Elektronika,0.425,Elektronika
6,prod_6_6,6,0,323.8,Elektronika,0.1,Elektronika
6,prod_6_7,7,0,68.03,Elektronika,0.671,Elektronika
6,prod_6_8,8,0,541.03,Elektronika,0.162,Elektronika
6,prod_6_9,9,0,206.17,Elektronika,0.718,Elektronika
6,prod_6_10,10,0,136.24,Elektronika,0.148,Elektronika
7,prod_7_1,1,0,226.69,Ksiazki,0.55,Ksiazki
7,prod_7_2,2,0,1051.16,Ksiazki,0.324,Ksiazki
7,prod_7_3,3,0,185.67,Ksiazki,0.688,Ksiazki
7,prod_7_4,4,0,169.57,Ksiazki,0.173,Ksiazki
7,prod_7_5,5,0,2187.39,Ksiazki,0.534,Ksiazki
7,prod_7_6,6,0,206.38,Ksiazki,0.345,Ksiazki
7,prod_7_7,7,0,1584.24,Elektronika,0.569,Ksiazki
7,prod_7_8,8,0,178.33,Ksiazki,0.933,Ksiazki
7,prod_7_9,9,0,489.69,Ksiazki,0.459,Ksiazki
7,prod_7_10,10,0,1888.66,Ksiazki,0.489,Ksiazki
8,prod_8_1,1,1,351.37,Odziez,0.334,Odziez
8,prod_8_2,2,0,148.8,Odziez,0.482,Odziez
8,prod_8_3,3,0,154.22,Odziez,0.865,Odziez
8,prod_8_4,4,0,274.87,Ksiazki,0.38,Odziez
8,prod_8_5,5,0,821.29,Odziez,0.318,Odziez
8,prod_8_6,6,0,655.09,Odziez,0.508,Odziez
8,prod_8_7,7,0,104.29,Elektronika,0.516,Odziez
8,prod_8_8,8,0,324.3,Odziez,0.673,Odziez
8,prod_8_9,9,0,247.84,Odziez,0.284,Odziez
9,prod_9_1,1,0,43.81,Elektronika,0.808,Elektronika
9,prod_9_2,2,0,61.48,Elektronika,0.103,Elektronika
9,prod_9_3,3,0,259.11,Elektronika,0.426,Elektronika
9,prod_9_4,4,0,250.39,Ksiazki,0.287,Elektronika
9,prod_9_5,5,0,753.57,Elektronika,0.631,Elektronika
9,prod_9_6,6,0,54.45,Ksiazki,0.568,Elektronika
9,prod_9_7,7,0,77.29,Odziez,0.68,Elektronika
9,prod_9_8,8,0,236.54,Elektronika,0.558,Elektronika
9,prod_9_9,9,0,160.37,Elektronika,0.936,Elektronika
9,prod_9_10,10,0,797.02,Elektronika,0.433,Elektronika
9,prod_9_11,11,0,107.91,Elektronika,0.688,Elektronika
9,prod_9_12,12,0,156.65,Elektronika,0.1,Elektronika
10,prod_10_1,1,0,72.49,Odziez,0.673,Odziez
10,prod_10_2,2,0,145.75,Odziez,0.223,Odziez
10,prod_10_3,3,0,237.11,Odziez,0.799,Odziez
10,prod_10_4,4,0,428.22,Odziez,0.726,Odziez
10,prod_10_5,5,0,344.53,Odziez,0.377,Odziez
10,prod_10_6,6,0,360.2,Odziez,0.562,Odziez
10,prod_10_7,7,0,236.13,Odziez,0.154,Odziez
10,prod_10_8,8,0,113.27,Ksiazki,0.749,Odziez
10,prod_10_9,9,0,1537.87,Odziez,0.249,Odziez
11,prod_11_1,1,0,153.61,Elektronika,0.339,Elektronika
11,prod_11_2,2,0,167.64,Elektronika,0.21,Elektronika
11,prod_11_3,3,0,237.17,Elektronika,0.441,Elektronika
11,prod_11_4,4,0,89.08,Elektronika,0.701,Elektronika
11,prod_11_5,5,0,137.83,Elektronika,0.442,Elektronika
12,prod_12_1,1,0,431.95,Ksiazki,0.394,Ksiazki
12,prod_12_2,2,1,845.94,Ksiazki,0.533,Ksiazki
12,prod_12_3,3,0,316.49,Elektronika,0.45,Ksiazki
12,prod_12_4,4,0,237.5,Ksiazki,0.635,Ksiazki
12,prod_12_5,5,0,2378.53,Ksiazki,0.355,Ksiazki
13,prod_13_1,1,0,137.82,Ksiazki,0.461,Ksiazki
13,prod_13_2,2,0,235.7,Ksiazki,0.683,Ksiazki
13,prod_13_3,3,0,1002.83,Ksiazki,0.287,Ksiazki
13,prod_13_4,4,0,200.52,Ksiazki,0.575,Ksiazki
13,prod_13_5,5,0,489.5,Ksiazki,0.729,Ksiazki
13,prod_13_6,6,0,144.33,Odziez,0.704,Ksiazki
13,prod_13_7,7,1,146.8,Ksiazki,0.402,Ksiazki
13,prod_13_8,8,0,787.45,Ksiazki,0.628,Ksiazki
13,prod_13_9,9,0,200.3,Odziez,0.472,Ksiazki
13,prod_13_10,10,0,203.18,Ksiazki,0.146,Ksiazki
13,prod_13_11,11,0,198.93,Ksiazki,0.679,Ksiazki
13,prod_13_12,12,0,380.8,Ksiazki,0.375,Ksiazki
14,prod_14_1,1,0,1431.59,Odziez,0.479,Odziez
14,prod_14_2,2,0,239.43,Ksiazki,0.845,Odziez
14,prod_14_3,3,0,111.2,Odziez,0.812,Odziez
14,prod_14_4,4,0,595.85,Odziez,0.619,Odziez
14,prod_14_5,5,0,1249.85,Odziez,0.711,Odziez
15,prod_15_1,1,0,351.15,Odziez,0.361,Ksiazki
15,prod_15_2,2,0,3528.08,Ksiazki,0.38,Ksiazki
15,prod_15_3,3,0,653.24,Ksiazki,0.191,Ksiazki
15,prod_15_4,4,0,60.0,Ksiazki,0.236,Ksiazki
15,prod_15_5,5,0,395.27,Ksiazki,0.238,Ksiazki
15,prod_15_6,6,0,327.48,Ksiazki,0.707,Ksiazki
16,prod_16_1,1,0,74.25,Odziez,0.465,Ksiazki
16,prod_16_2,2,1,60.32,Elektronika,0.796,Ksiazki
16,prod_16_3,3,0,69.91,Ksiazki,0.432,Ksiazki
16,prod_16_4,4,0,225.75,Ksiazki,0.249,Ksiazki
16,prod_16_5,5,0,131.79,Ksiazki,0.536,Ksiazki
16,prod_16_6,6,0,367.71,Ksiazki,0.458,Ksiazki
16,prod_16_7,7,0,436.96,Ksiazki,0.1,Ksiazki
16,prod_16_8,8,1,1484.85,Ksiazki,0.774,Ksiazki
16,prod_16_9,9,0,277.81,Ksiazki,0.569,Ksiazki
16,prod_16_10,10,0,170.97,Ksiazki,0.643,Ksiazki
17,prod_17_1,1,0,408.69,Ksiazki,0.363,Ksiazki
17,prod_17_2,2,0,55.74,Ksiazki,0.892,Ksiazki
17,prod_17_3,3,0,130.31,Ksiazki,0.1,Ksiazki
17,prod_17_4,4,0,55.65,Ksiazki,0.938,Ksiazki
17,prod_17_5,5,0,264.59,Ksiazki,0.41,Ksiazki
17,prod_17_6,6,0,166.57,Ksiazki,0.661,Ksiazki
17,prod_17_7,7,0,158.94,Ksiazki,0.504,Ksiazki
18,prod_18_1,1,0,393.66,Elektronika,0.628,Elektronika
18,prod_18_2,2,0,1854.57,Elektronika,0.424,Elektronika
18,prod_18_3,3,0,952.12,Elektronika,0.634,Elektronika
18,prod_18_4,4,0,361.03,Elektronika,0.418,Elektronika
18,prod_18_5,5,0,105.21,Elektronika,0.491,Elektronika
18,prod_18_6,6,0,131.39,Elektronika,0.322,Elektronika
18,prod_18_7,7,0,153.26,Elektronika,0.618,Elektronika
18,prod_18_8,8,0,1015.22,Elektronika,0.805,Elektronika
18,prod_18_9,9,0,513.69,Elektronika,0.437,Elektronika
18,prod_18_10,10,0,534.64,Elektronika,0.856,Elektronika
18,prod_18_11,11,0,1017.51,Elektronika,0.208,Elektronika
19,prod_19_1,1,0,508.76,Elektronika,0.231,Odziez
19,prod_19_2,2,0,132.45,Odziez,0.236,Odziez
19,prod_19_3,3,0,366.54,Odziez,0.84,Odziez
19,prod_19_4,4,0,923.83,Odziez,0.955,Odziez
19,prod_19_5,5,0,464.54,Odziez,0.519,Odziez
19,prod_19_6,6,0,153.76,Odziez,0.903,Odziez
19,prod_19_7,7,0,257.49,Elektronika,0.41,Odziez
19,prod_19_8,8,0,82.37,Odziez,0.899,Odziez
20,prod_20_1,1,1,147.34,Odziez,0.369,Odziez
20,prod_20_2,2,0,61.51,Odziez,0.681,Odziez
20,prod_20_3,3,0,155.03,Odziez,0.315,Odziez
20,prod_20_4,4,0,839.24,Elektronika,0.596,Odziez
20,prod_20_5,5,1,83.51,Odziez,0.809,Odziez
20,prod_20_6,6,0,131.86,Odziez,0.338,Odziez
20,prod_20_7,7,0,316.21,Ksiazki,0.1,Odziez
20,prod_20_8,8,0,415.46,Elektronika,0.538,Odziez
21,prod_21_1,1,1,142.04,Odziez,0.617,Odziez
21,prod_21_2,2,0,27.37,Odziez,0.582,Odziez
21,prod_21_3,3,0,218.47,Odziez,0.704,Odziez
21,prod_21_4,4,0,112.7,Odziez,0.487,Odziez
21,prod_21_5,5,0,968.38,Odziez,0.233,Odziez
21,prod_21_6,6,0,95.55,Odziez,0.607,Odziez
21,prod_21_7,7,0,530.82,Odziez,0.511,Odziez
21,prod_21_8,8,0,342.15,Elektronika,0.695,Odziez
21,prod_21_9,9,0,150.48,Odziez,0.811,Odziez
21,prod_21_10,10,0,925.48,Odziez,0.401,Odziez
21,prod_21_11,11,0,294.6,Odziez,0.705,Odziez
21,prod_21_12,12,0,76.39,Odziez,0.326,Odziez
22,prod_22_1,1,0,301.22,Odziez,0.135,Odziez
22,prod_22_2,2,0,222.41,Odziez,0.505,Odziez
22,prod_22_3,3,1,348.81,Odziez,0.899,Odziez
22,prod_22_4,4,0,1227.75,Odziez,0.679,Odziez
22,prod_22_5,5,0,185.73,Odziez,0.43,Odziez
22,prod_22_6,6,0,402.6,Odziez,0.74,Odziez
22,prod_22_7,7,0,490.68,Odziez,0.68,Odziez
22,prod_22_8,8,0,321.63,Odziez,0.193,Odziez
22,prod_22_9,9,0,144.74,Odziez,0.362,Odziez
22,prod_22_10,10,1,267.71,Odziez,0.64,Odziez
23,prod_23_1,1,0,103.68,Ksiazki,0.663,Ksiazki
23,prod_23_2,2,0,631.28,Ksiazki,0.727,Ksiazki
23,prod_23_3,3,0,93.99,Ksiazki,0.446,Ksiazki
23,prod_23_4,4,0,115.13,Ksiazki,0.488,Ksiazki
23,prod_23_5,5,0,342.75,Ksiazki,0.173,Ksiazki
24,prod_24_1,1,0,197.75,Ksiazki,0.318,Ksiazki
24,prod_24_2,2,0,114.62,Ksiazki,0.488,Ksiazki
24,prod_24_3,3,0,522.28,Ksiazki,0.518,Ksiazki
24,prod_24_4,4,0,1016.72,Ksiazki,0.231,Ksiazki
24,prod_24_5,5,0,153.46,Ksiazki,0.594,Ksiazki
24,prod_24_6,6,0,194.07,Ksiazki,0.662,Ksiazki
24,prod_24_7,7,0,20.42,Ksiazki,0.885,Ksiazki
24,prod_24_8,8,0,2414.63,Ksiazki,0.1,Ksiazki
25,prod_25_1,1,0,112.91,Elektronika,0.247,Elektronika
25,prod_25_2,2,1,347.55,Elektronika,0.688,Elektronika
25,prod_25_3,3,0,78.82,Elektronika,0.306,Elektronika
25,prod_25_4,4,0,276.1,Elektronika,0.423,Elektronika
25,prod_25_5,5,0,366.0,Elektronika,0.173,Elektronika
25,prod_25_6,6,1,183.86,Elektronika,0.529,Elektronika
25,prod_25_7,7,0,199.97,Elektronika,0.777,Elektronika
25,prod_25_8,8,0,333.07,Elektronika,0.414,Elektronika
25,prod_25_9,9,0,173.92,Elektronika,0.421,Elektronika
25,prod_25_10,10,0,174.18,Elektronika,0.354,Elektronika
25,prod_25_11,11,0,603.59,Elektronika,0.444,Elektronika
25,prod_25_12,12,0,219.67,Elektronika,0.123,Elektronika
26,prod_26_1,1,0,575.52,Elektronika,0.504,Elektronika
26,prod_26_2,2,1,260.62,Elektronika,0.513,Elektronika
26,prod_26_3,3,0,153.53,Odziez,0.763,Elektronika
26,prod_26_4,4,0,228.2,Elektronika,0.613,Elektronika
26,prod_26_5,5,0,202.98,Elektronika,0.27,Elektronika
27,prod_27_1,1,0,25.75,Odziez,0.615,Odziez
27,prod_27_2,2,0,694.45,Odziez,0.149,Odziez
27,prod_27_3,3,0,343.65,Elektronika,0.773,Odziez
27,prod_27_4,4,0,240.64,Odziez,0.273,Odziez
27,prod_27_5,5,0,521.83,Elektronika,0.829,Odziez
27,prod_27_6,6,0,511.2,Odziez,0.545,Odziez
27,prod_27_7,7,0,54.22,Odziez,0.702,Odziez
27,prod_27_8,8,0,87.65,Odziez,0.5,Odziez
27,prod_27_9,9,0,404.6,Odziez,0.787,Odziez
27,prod_27_10,10,0,209.1,Odziez,0.626,Odziez
27,prod_27_11,11,0,669.29,Odziez,0.729,Odziez
27,prod_27_12,12,0,228.05,Odziez,0.834,Odziez
28,prod_28_1,1,1,362.41,Elektronika,0.392,Elektronika
28,prod_28_2,2,0,89.72,Ksiazki,0.359,Elektronika
28,prod_28_3,3,0,235.92,Elektronika,0.345,Elektronika
28,prod_28_4,4,0,61.21,Elektronika,0.439,Elektronika
28,prod_28_5,5,0,200.89,Elektronika,0.774,Elektronika
28,prod_28_6,6,0,581.31,Elektronika,0.396,Elektronika
29,prod_29_1,1,1,1425.83,Elektronika,0.273,Elektronika
29,prod_29_2,2,0,372.76,Elektronika,0.2,Elektronika
29,prod_29_3,3,0,238.33,Elektronika,0.483,Elektronika
29,prod_29_4,4,0,843.02,Elektronika,0.772,Elektronika
29,prod_29_5,5,0,1125.29,Ksiazki,0.23,Elektronika
29,prod_29_6,6,0,119.7,Elektronika,0.714,Elektronika
29,prod_29_7,7,0,370.21,Elektronika,0.307,Elektronika
30,prod_30_1,1,0,469.93,Odziez,0.571,Elektronika
30,prod_30_2,2,1,335.73,Elektronika,0.507,Elektronika
30,prod_30_3,3,0,119.92,Elektronika,0.625,Elektronika
30,prod_30_4,4,0,216.41,Ksiazki,0.433,Elektronika
30,prod_30_5,5,0,120.3,Elektronika,0.188,Elektronika
30,prod_30_6,6,0,928.08,Elektronika,0.639,Elektronika
30,prod_30_7,7,0,358.8,Elektronika,0.299,Elektronika
30,prod_30_8,8,0,299.97,Elektronika,0.482,Elektronika
30,prod_30_9,9,0,405.16,Elektronika,0.181,Elektronika
30,prod_30_10,10,0,289.0,Elektronika,0.381,Elektronika
31,prod_31_1,1,0,270.37,Elektronika,0.165,Ksiazki
31,prod_31_2,2,1,634.37,Elektronika,0.778,Ksiazki
31,prod_31_3,3,0,69.12,Ksiazki,0.69,Ksiazki
31,prod_31_4,4,0,348.35,Ksiazki,0.1,Ksiazki
31,prod_31_5,5,0,111.87,Odziez,0.108,Ksiazki
31,prod_31_6,6,0,149.95,Ksiazki,0.222,Ksiazki
31,prod_31_7,7,0,199.19,Ksiazki,0.721,Ksiazki
31,prod_31_8,8,0,249.69,Ksiazki,0.711,Ksiazki
32,prod_32_1,1,0,205.92,Odziez,0.477,Odziez
32,prod_32_2,2,0,430.89,Odziez,0.201,Odziez
32,prod_32_3,3,0,761.84,Odziez,0.306,Odziez
32,prod_32_4,4,0,280.09,Odziez,0.484,Odziez
32,prod_32_5,5,0,1658.7,Odziez,0.369,Odziez
32,prod_32_6,6,0,87.93,Odziez,0.265,Odziez
32,prod_32_7,7,1,320.84,Odziez,0.596,Odziez
32,prod_32_8,8,0,223.48,Odziez,0.545,Odziez
33,prod_33_1,1,0,209.94,Odziez,0.581,Odziez
33,prod_33_2,2,0,58.07,Elektronika,0.315,Odziez
33,prod_33_3,3,0,358.99,Odziez,0.669,Odziez
33,prod_33_4,4,0,103.46,Odziez,0.786,Odziez
33,prod_33_5,5,0,837.39,Ksiazki,0.626,Odziez
33,prod_33_6,6,1,542.11,Ksiazki,0.704,Odziez
34,prod_34_1,1,1,226.76,Elektronika,0.966,Elektronika
34,prod_34_2,2,0,118.68,Elektronika,0.1,Elektronika
34,prod_34_3,3,0,42.94,Elektronika,0.184,Elektronika
34,prod_34_4,4,0,871.26,Elektronika,0.687,Elektronika
34,prod_34_5,5,1,175.98,Elektronika,0.826,Elektronika
34,prod_34_6,6,0,159.06,Elektronika,0.378,Elektronika
34,prod_34_7,7,0,340.92,Ksiazki,0.305,Elektronika
34,prod_34_8,8,0,112.19,Elektronika,0.702,Elektronika
35,prod_35_1,1,0,929.31,Elektronika,0.589,Elektronika
35,prod_35_2,2,0,910.29,Elektronika,0.546,Elektronika
35,prod_35_3,3,1,408.15,Elektronika,0.703,Elektronika
35,prod_35_4,4,0,252.14,Elektronika,0.105,Elektronika
35,prod_35_5,5,0,651.14,Elektronika,0.513,Elektronika
35,prod_35_6,6,0,634.21,Elektronika,0.302,Elektronika
35,prod_35_7,7,0,170.85,Elektronika,0.879,Elektronika
35,prod_35_8,8,0,29.98,Elektronika,0.162,Elektronika
35,prod_35_9,9,0,64.06,Elektronika,0.635,Elektronika
36,prod_36_1,1,1,72.9,Elektronika,0.613,Elektronika
36,prod_36_2,2,0,221.18,Elektronika,0.537,Elektronika
36,prod_36_3,3,0,154.58,Elektronika,0.64,Elektronika
36,prod_36_4,4,0,358.53,Elektronika,0.327,Elektronika
36,prod_36_5,5,0,254.55,Elektronika,0.582,Elektronika
37,prod_37_1,1,0,477.46,Elektronika,0.327,Elektronika
37,prod_37_2,2,0,220.31,Elektronika,0.765,Elektronika
37,prod_37_3,3,0,606.0,Elektronika,0.702,Elektronika
37,prod_37_4,4,0,1702.41,Elektronika,0.278,Elektronika
37,prod_37_5,5,0,199.05,Elektronika,0.824,Elektronika
37,prod_37_6,6,0,406.73,Elektronika,0.613,Elektronika
37,prod_37_7,7,0,217.39,Elektronika,0.53,Elektronika
37,prod_37_8,8,0,155.61,Elektronika,0.551,Elektronika
38,prod_38_1,1,0,1135.14,Odziez,0.542,Odziez
38,prod_38_2,2,0,69.38,Odziez,0.492,Odziez
38,prod_38_3,3,0,281.03,Odziez,0.273,Odziez
38,prod_38_4,4,0,1681.17,Odziez,0.687,Odziez
38,prod_38_5,5,0,49.59,Odziez,0.227,Odziez
38,prod_38_6,6,0,130.41,Odziez,0.621,Odziez
38,prod_38_7,7,0,130.98,Odziez,0.791,Odziez
38,prod_38_8,8,0,628.96,Odziez,0.853,Odziez
38,prod_38_9,9,0,638.03,Odziez,0.562,Odziez
38,prod_38_10,10,0,172.35,Odziez,0.429,Odziez
38,prod_38_11,11,0,270.67,Odziez,0.219,Odziez
39,prod_39_1,1,0,2173.39,Ksiazki,0.639,Ksiazki
39,prod_39_2,2,0,613.54,Ksiazki,0.3,Ksiazki
39,prod_39_3,3,0,22.82,Ksiazki,0.71,Ksiazki
39,prod_39_4,4,0,109.31,Ksiazki,0.274,Ksiazki
39,prod_39_5,5,0,186.85,Ksiazki,0.687,Ksiazki
40,prod_40_1,1,0,749.98,Odziez,0.646,Odziez
40,prod_40_2,2,0,176.69,Odziez,0.564,Odziez
40,prod_40_3,3,0,73.38,Odziez,0.891,Odziez
40,prod_40_4,4,0,230.37,Elektronika,0.427,Odziez
40,prod_40_5,5,0,217.58,Odziez,0.608,Odziez
41,prod_41_1,1,0,268.69,Elektronika,0.908,Odziez
41,prod_41_2,2,0,119.0,Odziez,0.1,Odziez
41,prod_41_3,3,0,917.93,Odziez,0.328,Odziez
41,prod_41_4,4,0,839.2,Odziez,0.196,Odziez
41,prod_41_5,5,0,210.78,Odziez,0.513,Odziez
41,prod_41_6,6,0,68.05,Elektronika,0.838,Odziez
41,prod_41_7,7,0,626.45,Odziez,0.196,Odziez
41,prod_41_8,8,0,206.34,Ksiazki,0.495,Odziez
41,prod_41_9,9,0,260.13,Odziez,0.602,Odziez
41,prod_41_10,10,0,2218.34,Odziez,0.315,Odziez
42,prod_42_1,1,1,83.0,Odziez,0.789,Elektronika
42,prod_42_2,2,0,50.59,Ksiazki,0.156,Elektronika
42,prod_42_3,3,0,1081.81,Elektronika,0.582,Elektronika
42,prod_42_4,4,0,186.62,Elektronika,0.917,Elektronika
42,prod_42_5,5,0,569.3,Elektronika,0.377,Elektronika
42,prod_42_6,6,0,1040.6,Elektronika,0.628,Elektronika
42,prod_42_7,7,0,208.26,Elektronika,0.1,Elektronika
42,prod_42_8,8,0,710.35,Elektronika,0.419,Elektronika
42,prod_42_9,9,0,294.71,Elektronika,0.37,Elektronika
43,prod_43_1,1,0,305.84,Ksiazki,0.58,Ksiazki
43,prod_43_2,2,0,177.92,Ksiazki,0.804,Ksiazki
43,prod_43_3,3,0,171.36,Ksiazki,0.57,Ksiazki
43,prod_43_4,4,0,399.0,Ksiazki,0.641,Ksiazki
43,prod_43_5,5,0,292.76,Ksiazki,0.247,Ksiazki
43,prod_43_6,6,0,129.67,Odziez,0.405,Ksiazki
43,prod_43_7,7,0,983.52,Ksiazki,0.542,Ksiazki
43,prod_43_8,8,0,415.81,Ksiazki,0.629,Ksiazki
43,prod_43_9,9,0,228.77,Ksiazki,0.116,Ksiazki
43,prod_43_10,10,0,1120.09,Ksiazki,0.637,Ksiazki
44,prod_44_1,1,0,532.41,Ksiazki,0.962,Ksiazki
44,prod_44_2,2,0,166.11,Ksiazki,0.21,Ksiazki
44,prod_44_3,3,0,111.13,Odziez,0.339,Ksiazki
44,prod_44_4,4,0,739.58,Elektronika,0.73,Ksiazki
44,prod_44_5,5,0,134.16,Ksiazki,0.434,Ksiazki
44,prod_44_6,6,0,702.4,Odziez,0.877,Ksiazki
44,prod_44_7,7,0,249.42,Ksiazki,0.625,Ksiazki
44,prod_44_8,8,0,60.47,Ksiazki,0.615,Ksiazki
45,prod_45_1,1,0,163.2,Elektronika,0.117,Elektronika
45,prod_45_2,2,1,208.93,Elektronika,0.238,Elektronika
45,prod_45_3,3,0,205.36,Elektronika,0.312,Elektronika
45,prod_45_4,4,0,534.99,Elektronika,0.437,Elektronika
45,prod_45_5,5,0,597.13,Ksiazki,0.505,Elektronika
46,prod_46_1,1,0,599.99,Odziez,0.419,Odziez
46,prod_46_2,2,0,327.55,Odziez,0.648,Odziez
46,prod_46_3,3,0,136.44,Elektronika,0.421,Odziez
46,prod_46_4,4,0,191.88,Odziez,0.814,Odziez
46,prod_46_5,5,0,300.78,Odziez,0.498,Odziez
46,prod_46_6,6,0,273.3,Odziez,0.899,Odziez
46,prod_46_7,7,0,1364.41,Odziez,0.439,Odziez
46,prod_46_8,8,0,97.0,Odziez,0.493,Odziez
46,prod_46_9,9,0,358.17,Odziez,0.666,Odziez
46,prod_46_10,10,0,367.08,Odziez,0.616,Odziez
47,prod_47_1,1,1,160.13,Elektronika,0.611,Elektronika
47,prod_47_2,2,0,188.36,Elektronika,0.383,Elektronika
47,prod_47_3,3,0,458.7,Elektronika,0.514,Elektronika
47,prod_47_4,4,0,116.72,Elektronika,0.762,Elektronika
47,prod_47_5,5,0,108.17,Odziez,0.633,Elektronika
47,prod_47_6,6,0,359.55,Elektronika,0.468,Elektronika
47,prod_47_7,7,0,778.94,Elektronika,0.199,Elektronika
47,prod_47_8,8,0,62.45,Ksiazki,0.402,Elektronika
47,prod_47_9,9,0,134.71,Elektronika,0.89,Elektronika
47,prod_47_10,10,0,36.44,Elektronika,0.703,Elektronika
47,prod_47_11,11,0,339.03,Elektronika,0.812,Elektronika
48,prod_48_1,1,0,125.82,Odziez,0.695,Odziez
48,prod_48_2,2,0,1744.32,Odziez,0.722,Odziez
48,prod_48_3,3,0,574.93,Odziez,0.241,Odziez
48,prod_48_4,4,0,199.88,Ksiazki,0.445,Odziez
48,prod_48_5,5,1,155.0,Odziez,0.798,Odziez
48,prod_48_6,6,0,227.38,Odziez,0.693,Odziez
49,prod_49_1,1,0,788.62,Odziez,0.184,Odziez
49,prod_49_2,2,0,146.89,Odziez,0.35,Odziez
49,prod_49_3,3,0,529.32,Odziez,0.773,Odziez
49,prod_49_4,4,0,28.98,Elektronika,0.161,Odziez
49,prod_49_5,5,1,72.89,Odziez,0.718,Odziez
49,prod_49_6,6,0,87.88,Odziez,0.435,Odziez
49,prod_49_7,7,0,587.39,Odziez,0.264,Odziez
49,prod_49_8,8,0,203.23,Odziez,0.51,Odziez
